Sample,Emotion,Word,MEAN,LNZ
SPEC_back_angry.png,angry,back,0.7254389914452949,1.0
SPEC_back_happy.png,happy,back,0.6330031517334535,1.0
SPEC_back_neutral.png,neutral,back,0.919855920756416,1.0
SPEC_back_sad.png,sad,back,0.9387663214768122,1.0
SPEC_bar_angry.png,angry,bar,0.7086447546150382,1.0
SPEC_bar_happy.png,happy,bar,0.7439441692931112,1.0
SPEC_bar_neutral.png,neutral,bar,0.9505177847816298,1.0
SPEC_bar_sad.png,sad,bar,0.9538946420531291,1.0
SPEC_base_angry.png,angry,base,0.6429536244934714,0.9951219512195122
SPEC_base_happy.png,happy,base,0.6823502926609635,0.9951219512195122
SPEC_base_neutral.png,neutral,base,0.9293111211166142,1.0
SPEC_base_sad.png,sad,base,0.9515533543448896,1.0
SPEC_bath_angry.png,angry,bath,0.7269698334083746,1.0
SPEC_bath_happy.png,happy,bath,0.6365150832958127,0.9853658536585366
SPEC_bath_neutral.png,neutral,bath,0.8938766321476811,1.0
SPEC_bath_sad.png,sad,bath,0.9038721296713192,1.0
SPEC_bean_angry.png,angry,bean,0.8723547951373255,1.0
SPEC_bean_happy.png,happy,bean,0.8434939216569112,1.0
SPEC_bean_neutral.png,neutral,bean,0.9819000450247636,0.9951219512195122
SPEC_bean_sad.png,sad,bean,0.979468707789284,0.9951219512195122
SPEC_beg_angry.png,angry,beg,0.7173795587573164,1.0
SPEC_beg_happy.png,happy,beg,0.7719045475011255,1.0
SPEC_beg_neutral.png,neutral,beg,0.9490319675821701,1.0
SPEC_beg_sad.png,sad,beg,0.9503376857271499,1.0
SPEC_bite_angry.png,angry,bite,0.7244934714092751,0.9902439024390244
SPEC_bite_happy.png,happy,bite,0.6905898244034219,0.9902439024390244
SPEC_bite_neutral.png,neutral,bite,0.9261593876632147,1.0
SPEC_bite_sad.png,sad,bite,0.9371004052228725,1.0
SPEC_boat_angry.png,angry,boat,0.770238631247186,1.0
SPEC_boat_happy.png,happy,boat,0.759432687978388,1.0
SPEC_boat_neutral.png,neutral,boat,0.9742908599729851,1.0
SPEC_boat_sad.png,sad,boat,0.9090049527239982,1.0
SPEC_bone_angry.png,angry,bone,0.8213417379558757,1.0
SPEC_bone_happy.png,happy,bone,0.7363800090049527,1.0
SPEC_bone_neutral.png,neutral,bone,0.9605583070688878,1.0
SPEC_bone_sad.png,sad,bone,0.8988293561458802,1.0
SPEC_book_angry.png,angry,book,0.7166591625393967,1.0
SPEC_book_happy.png,happy,book,0.6416028815848717,0.9853658536585366
SPEC_book_neutral.png,neutral,book,0.9219270598829357,1.0
SPEC_book_sad.png,sad,book,0.9230076542098153,1.0
SPEC_bought_angry.png,angry,bought,0.7125619090499775,1.0
SPEC_bought_happy.png,happy,bought,0.6816749212066636,1.0
SPEC_bought_neutral.png,neutral,bought,0.9209365150832957,1.0
